companyName,description,jobName,location,require,salary,timePost
Royal Organisation Pte Ltd,"",🌈Marketing and Sales Rep🌈 (entry-lv welcome),Singapore,"",SGD3N-SGD10N,11-01-2024
Assembly Works HR Pte Ltd,"",Corporate Secretary Assistant,Singapore,"","SGD2,3N-SGD3,5N",11-01-2024
National Institute Of Education,"",Manager (AFA) (Academic & Faculty Affairs) [NIE],Singapore,"",Competitive,14-12-2023
Seager Inc Pte Ltd,"",Project Coordinator,Singapore,"",SGD3N-SGD4N,11-01-2024
Marymount Labs,"",Product Engineer,Singapore,"","SGD800-SGD1,2N",27-12-2023
Rsm Singapore,"",Intern Data Science Developer,Singapore,"","SGD900-SGD1,5N",10-01-2024
Aevice Health,"",Regulatory Affairs Intern (Jan - Jun 2024),Singapore,"",SGD1N,07-01-2024
National Institute Of Education,"",Systems Consultant / Senior Systems Consultant (IDD) [NIE],Singapore,"",Competitive,21-12-2023
RYSE Marketing Group,"",Entry Level Sales & Marketing Associate (Entry Level),Singapore,"",SGD3N-SGD5N,11-01-2024
KNO,"",Personal Assistant - Part Time(Work From Home) / Full Time,"Kent Ridge, Singapore","",SGD10-SGD20,26-12-2023
ANOTECH Singapore,"",Cloud Protection and Licensing (CPL) Integrator,Singapore,"","SGD4,5N-SGD9N",11-01-2024
Noak,"",Android Developer (Includes Equity),Singapore,"",Competitive,20-12-2023
ANOTECH Singapore,"",Senior Software Engineer - Go/Angular,Singapore,"","SGD4N-SGD6,5N",11-01-2024
Youyi Technology Pte Ltd,"",Technical Support Engineer,"Changi, Singapore","",Competitive,22-12-2023
Metropolitan YMCA Singapore,"",Swimming Instructor (Freelance),Singapore,"",Competitive,04-01-2024
National Institute Of Education,"",Assistant Manager/Manager - Graduate Education (GPL) [NIE],Singapore,"",Competitive,11-01-2024
Noak,"",Backend Developer (Includes Equity),Singapore,"",Competitive,22-12-2023
RYSE Marketing Group,"",JUNIOR SALES REPRESENTATIVE (ENTRY LEVEL),Singapore,"",SGD3N-SGD5N,11-01-2024
Assembly Works HR Pte Ltd,"",HR Intern (Abba Maintenance Services Pte Ltd),Singapore,"",SGD800-SGD1N,11-01-2024
National Institute Of Education,"",Assistant Manager/Manager - Graduate Education (GPL) [NIE],Singapore,"",Competitive,11-01-2024
OrangeTee & Tie Pte Ltd,"",Assistant Finance Executive,Singapore,"","SGD1,4N-SGD1,6N",14-12-2023
Monstyr Pte. Ltd.,"",Data Entry - Contract Position (Admin),Singapore,"","Rp2,2Tr-Rp2,5Tr",11-01-2024
Mgg Software Pte Ltd,"",Tender Executive,Singapore,"",SGD3N,12-01-2024
Youyi Technology Pte Ltd,"",Project Engineer,Singapore,"","SGD3N-SGD3,5N",22-12-2023
Aha AI,"",Senior Back-End Engineer (Full-Remote),Singapore,"","NT$3,5Tr-NT$4,5Tr",11-01-2024
PeopleScope Pte Ltd,"",Lead Management Associate/Executive,Singapore,"","SGD2,5N-SGD4N",05-01-2024
National Institute Of Education,"",Asst Manager -Centre for Research in Child Development(OER)[NIE],Singapore,"",Competitive,11-01-2024
Mgg Software Pte. Ltd.,"",Tender Executive,Singapore,"",Competitive,11-01-2024
JTC Kensington,"",Human Resources Executive,Singapore,"","SGD2,5N-SGD3,5N",12-01-2024
National Institute Of Education,"",HR Executive (Human Resource Department) [NIE],Singapore,"",Competitive,11-01-2024
Bluente,"",Chinese Translator/ Proof-reading Intern,Singapore,"",Competitive,11-01-2024
National Institute Of Education,"",Senior Network Consultant / Network Consultant (IDD) [NIE],Singapore,"",Competitive,15-12-2023
DSTNCT Pte Ltd,"",Marketing Intern,"Paya Lebar, Singapore","",SGD800-SGD1N,19-12-2023
National Institute Of Education,"",Analyst Programmer / Systems Analyst (DSD) [NIE],Singapore,"",Competitive,04-01-2024
National Institute Of Education,"",Analyst Programmer / Systems Analyst (DSD) [NIE],Singapore,"",Competitive,20-12-2023
Transcelestial Technologies,"",Senior Manufacturing Software Engineer,Singapore,"",Competitive,11-01-2024
National Institute Of Education,"",Senior Network Consultant (IDD) [NIE],Singapore,"",Competitive,18-12-2023
DSTNCT Pte Ltd,"",Account Executive (Marketing),"Paya Lebar, Singapore","","SGD2,8N-SGD3N",24-12-2023
VITAL,"",Senior Executive / Executive,Singapore,"",Competitive,07-01-2024
