companyName,jobName,location,requirement,salary,timePost,website,jobType
GNC,Database Administrator,"Pittsburgh, PA",,Competitive,14-01-2024,Indeed,Database Administrator
InComm Payments,Oracle Database Administrator III,Remote in Georgia,,Competitive,14-01-2024,Indeed,Database Administrator
Susquehanna International Group,Oracle Database Administrator,"Bala-Cynwyd, PA",,Competitive,14-01-2024,Indeed,Database Administrator
UCLA Health,Database Administrator (Flex Hybrid),"Los Angeles, CA 90095",,Competitive,14-01-2024,Indeed,Database Administrator
"Criterion Systems, Inc.",Oracle Database Administrator,"San Diego, CA",,Competitive,14-01-2024,Indeed,Database Administrator
"Stem, Inc.",Cloud Database Administrator,"San Francisco, CA",,Competitive,14-01-2024,Indeed,Database Administrator
Vaspire Technologies,DATABASE ADMINISTRATOR,"East Brunswick, NJ 08816",,Competitive,14-01-2024,Indeed,Database Administrator
Hearst Media Services,SQL Server Sr Database Administrator,"Des Moines, IA 50315 (Gray's Lake area)",,Competitive,14-01-2024,Indeed,Database Administrator
Axiologic Solutions,Database Administrator (MySQL & Oracle),"Fort Meade, MD","Data Intelligence Technologies, a subsidiary of Axiologic Solutions is looking for a Database Administrator (MySQL & Oracle) to join our team. Our team members are exceptional people who care deeply about their work, their clients, and their mission by listening and delivering. Come help us to make an impact on our client’s toughest mission challenges. *Commitment to employees *Meaningful work *Career advancement *Collaborative spirit *Work-life balance *Diverse workforce *Veteran proud We have a generous compensation package to include but is not limited to, competitive medical/dental/401(k) plans, an electronic stipend, and an opportunity for profit sharing! Description: 8 + years experience administering to, and engineering solutions with MySQL and Oracle’s database (10 – 12). Extensive experience with database design and modeling; as well as, the collection and interpretation of customer requirements relevant to database migration, troubleshooting, performance observation and tuning. Installing and configuring new MySQL servers (5.x and 8.x) Upgrading MySQL databases, both major and minor revisions Administering MySQL account access, backups and table spaces Migrating MySQL databases Monitoring MySQL server performance Significant experience with the production and deployment of RAC, RMAN backup & recovery desired Experience with Streams / GoldenGate, DB security, DB Guard and / or DB Vault, Oracle Enterprise Manager Cloud Control, label security, and data migration desired Occasional after hours call-in required on an as needed basis. BS in CS or related course of study, or equivalent year’s experience. Must be an independent worker with strong communications skills. Must be COMPTIA / IAT 2 Certified Qualifications: Active TS/SCI with polygraph Minimum General Experience: At least ten (10) years developing and delivering IT Architectures or IT systems design/ engineering services or supported that activity with an organization. Functional Responsibility: Provides architecture and business consulting services. Functions as lead consultant and project manager on technically complex projects. Minimum Education: A BS in Computer Science, or related discipline, or equivalent years of experience. As a federal contractor Axiologic Solutions and its employees must comply with customer worksite requirements, which requires that federal contract employees to be vaccinated against COVID-19 or be required to test weekly. As part of accepting this offer you must show proof of vaccination against COVID-19 or agree to test weekly for Covid-19. Applicants with a physical or mental disability, who require a reasonable accommodation for any part of the application or hiring process, may e-mail their request to Jennifer.chavira@axiologicsolutions.com or call 571-758-3780. Determinations on request for reasonable accommodation will be made on a case-by-case basis. Equal Opportunity Employer–minorities/females/veterans/individuals with disabilities/sexual orientation/gender identity.",Competitive,14-01-2024,Indeed,Database Administrator
DLA Piper,Sr Database Administrator,"Remote in Reston, VA","DLA Piper is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran. Job applicant poster viewing center. DLA Piper is, at its core, bold, exceptional collaborative and supportive. Our people are the backbone, heart and soul of our firm. Wherever you are in your professional journey, DLA Piper is a place you can engage in meaningful work and grow your career. Let’s see what we can achieve. Together. If you are a highly talented Sr Database Administrator, we want to hear from you! This position is remote. Candidates may be required on occasion to visit the local office when/if needed. Minimum Requirements: High School or GED 6 years’ experience in Information Technology 2 years’ experience in a lead or supervisory position Must have excellent SQL and database administration skills Good technical skills to provide interpretation and communication/negotiation between technical resources Ability to effectively present and communicate information to technical staff, all levels of end users, vendors, and management Strong organizational and project planning skills to manage a variety of complex projects and assignments Preferred Requirements: Bachelor's Degree in Computer Science, Information Technology, or a related field 10 years’ experience in Information Technology What will your day look like? As a Sr Database Administrator, you will design, deploy, and manage highly available and scalable database architectures with a focus on Microsoft SQL Server and Azure SQL. You will monitor and optimize database performance, identifying and resolving performance bottlenecks and other issues to ensure optimal system performance. You will develop and implement database backup and disaster recovery strategies to ensure data integrity and minimize downtime. In this role, you will perform database capacity planning and resource utilization analysis to ensure adequate scalability and efficient resource allocation. You will collaborate with development teams to provide guidance and support in optimizing database queries, data models, and application integration. You will troubleshoot and resolve database-related incidents and issues including storage, performance, availability, data integrity, and database security. Furthermore, you will implement and enforce security and access control measures to protect sensitive data. You will proactively identify potential issues, risks, and areas for improvement in the database infrastructure and propose and implement solutions. You will stay up-to-date with the latest database technologies, tools, and best practices, and recommend their adoption when appropriate. You will perform and automate database management, maintenance, and data processing activities. Additionally, you will create and implement monitoring and alerting solutions to detect and prevent issues before they impact our users and applications. You will participate in on-call rotation to ensure 24/7 availability of our systems and services. You will lead and mentor developers and other data team members. You will continuously identify and implement process improvements to increase efficiency and reduce risk. You will document processes related to database design, configuration, standards, and performance. You will also design, develop, implement, and maintain data pipelines and ETL processes. To learn more about DLA Piper, please visit our website. We offer exceptional career opportunities in an environment that is challenging, rewarding, and, we believe, truly different from our competitors. Our employees enjoy a competitive benefits package and a dynamic and diverse environment in which they can build a long and fruitful career and reap the rewards of their success. Physical Demands, Work Environment, and Other Requirements Sedentary work: Exerting up to 10 pounds of force occasionally and/or a negligible amount of force frequently or constantly to lift, carry, push, pull or otherwise move objects, including the human body. Sedentary work involves sitting most of the time. Jobs are sedentary if walking and standing are required only occasionally, and all other sedentary criteria are met. Application Process: If you have a request for an accommodation during the application process or have any questions about the process, please contact careers@us.dlapiper.com. Please add noreply@dlapipercareers.us to your list of safe senders. Applicants must apply directly online instead of sending application materials via email. Agency applications will not be considered.",Competitive,14-01-2024,Indeed,Database Administrator
iSpeech,Database Administrator - DBA,"Newark, NJ",Cleaning and managing large sets of data Automating reporting Data modeling Optimizing data structures Maintaining MySQL including replication Maintaining Cassandra Cluster Please contact jobs@ispeech.org for more details about this position,Competitive,14-01-2024,Indeed,Database Administrator
TEXAS DEPARTMENT OF PUBLIC SAFETY,DPS - IT - Database Administrator - 0213,"Austin, TX 78752 (Highland area)",,Competitive,14-01-2024,Indeed,Database Administrator
CIBC,Database Administrator,"Chicago, IL (The Loop area)",,Competitive,14-01-2024,Indeed,Database Administrator
Sovereign Technologies,SQL Database Administrator,"St. Louis, MO","Categories: Administration, DBA, SQL Development, SQL Server, UNIX Sovereign Technologies is hiring a SQL Database Administrator. Position requires a Master of Science in computer science, engineering or information technology and at least 1 year experience in SQL Server, XML, and UNIX. Candidates may be asked to relocate to unanticipated locations.",Competitive,14-01-2024,Indeed,Database Administrator
Eaton,Oracle Database Administrator,"Hybrid remote in Cleveland, OH 44114","Eaton’s Information Technology division is currently seeking an Oracle Database Administrator to join our team. This position can be based at our Beachwood, Ohio, Moon TWP, PA, Raleigh, NC, Houston, TX, Menomonee Falls and Galesburg, MI facility. The position is eligible for a hybrid work setup. The expected annual salary range for this role is $88,499 - $129,799 a year. Please note the salary information shown above is a general guideline only. Salaries are based upon candidate skills, experience, and qualifications, as well as market and business considerations. What you’ll do: Database Administrators are responsible for ensuring that databases and underlying infrastructure and systems are operating smoothly and that applications are working as expected. They monitor databases, applications and associated services to reduce downtime and ensure availability and system performance. Administrators utilize automation to improve reliability, reduce manual effort, and reduce errors. Database Administrators will work closely with customers, developers and testers as part of project activities. They provide guidance and recommendations for database specifications according to application and customer requirements. They install and configure new databases according to Eaton standards. They are required to address all critical issues with top priority, and work on non-critical issues with appropriate priority to meet service-level agreements. Job Responsibilities Install, support, enhance, and maintain database and application environments using a combination of processes and tools Analyze server requirements, provide solution design Help developers, vendors, and testers create and support database solutions to meet their requirements. Implement configuration management, security policies, maintain software standards Develop, and Implement enhancements that will improve the performance and reliability of the database environment Works with Cybersecurity engineers to ensure standard practices, testing, and security principles are being adopted and enforced within database environments Work closely with development teams and vendors to understand application purpose and setup to assess optimal options for database installations, usage, and ensure proper deployment of databases related to their applications. Create and maintain technical documentation, including requirement translation, technical specifications, and support documents. Provide training to less experienced database administrators and support teams Collaborate with other technical groups Qualifications: Required (Basic) Qualifications: Bachelors degree from an accredited institution Minimum of 3 years of database administration experience Must be legally authorized to work in the United States without company sponsorship now or in the future. This position requires use of information or access to hardware which is subject to the International Traffic in Arms Regulations (ITAR). All applicants must be U.S. persons within the meaning of ITAR. ITAR defines a U.S. person as a U.S. Citizen, U.S. Permanent Resident (i.e. 'Green Card Holder'), Political Asylee, or Refugee. No relocation benefit is being offered for this position. Only candidates within a 50-mile radius of the work locations listed will be considered. Active-duty military Service member candidates are exempt from the geographical area limitation. Preferred Qualifications: Experienced in understanding of Oracle database architecture, administration, patching, backups, installation, configuration, and security. Experience and ability to read, modify and create SQL, PL/SQL, database triggers, stored procedures, replication jobs. Experience with SQL tuning and database tuning Experience managing databases in LINUX environments Experience with automation concepts, automatic provisioning of software and infrastructure, logging, and visualization of statistics Experience with Oracle EBS R12.2 administration, including patching, upgrades, cloning, and system administration Experience working with Agile methodologies Skills: Position Criteria: Effective verbal and written communication skills including the ability to explain technical concepts Working knowledge of Linux environment and tools Ability to read, modify and create Linux bash scripts. Ability to use RMAN for backup and restore. Solid understanding of concepts such as latency, performance, availability, efficiency, change management, and monitoring Strong problem solving and software debugging skills Ability to embrace change and continuously learn Good judgment, time management, and decision-making skills Ability to work collaboratively on a technical team Understanding of how to have difficult conversations with developers at times Experience working with diverse, global cultures, organizations and teams We are committed to ensuring equal employment opportunities for all job applicants and employees. Employment decisions are based upon job-related reasons regardless of an applicant's race, color, religion, sex, sexual orientation, gender identity, age, national origin, disability, marital status, genetic information, protected veteran status, or any other status protected by law. Eaton considers qualified applicants regardless of criminal histories, consistent with local laws. To request a disability-related reasonable accommodation to assist you in your job search, application or interview process, please call us at 1-800-836-6345 to discuss your specific need. Only accommodation requests will be accepted by this phone number. We know that good benefit programs are important to employees and their families. Eaton provides various Health and Welfare benefits as well as Retirement benefits, and several programs that provide for paid and unpaid time away from work. Click here for more detail: Eaton Benefits Overview. Please note that specific programs and options available to an employee may depend on eligibility factors such as geographic location, date of hire, and the applicability of collective bargaining agreements.",Competitive,14-01-2024,Indeed,Database Administrator
McKesson,Database Administrator,"Columbus, OH 43222 (Franklinton area)","CoverMyMeds, part of McKesson Corporation, is a fast-growing healthcare technology company recognized as a “Best Place to Work” by Glassdoor and a “Best Company to Work For” by FORTUNE. Through innovation and collaboration, CoverMyMeds’ solutions help people get the medicine they need to live healthier lives by seamlessly connecting the healthcare network to improve medication access, thereby increasing speed to therapy and reducing prescription abandonment. CoverMyMeds’ network includes 75 percent of electronic health record systems (EHRs), 50,000+ pharmacies, 750,000 providers, and most health plans and PBMs. We are in search of a Database Administrator to join our team and help create solutions to increase the efficiency of our healthcare system. These systems help millions of patients receive their prescription medications every year. This role is responsible for creating highly available databases and planning for scale as we continue to grow. As a Database Administrator (DBA), you would be responsible for Database Management and Maintenance, Data Modeling and Design, Backup and Recovery, Performance Tuning, Security, Troubleshooting, Capacity Planning, Documentation, and Compliance and Standards Role Responsibilities Oversee the installation, configuration, and maintenance of our databases Ensure the database performance, availability, and security Partner with development teams to design and implement database structures and to optimize database usage in an application Implement and regularly test backup and recovery plans to ensure data integrity Monitor and optimize database performance using tuning techniques Implement robust security measures to protect data against unauthorized access or breaches Diagnose and resolve database related issues Forecast future database needs and plan for necessary hardware/software upgrades Maintain detailed documentation of database architectures, configurations, and procedures Ensure databases practices comply with legal regulations and industry standards Required Skills and Qualifications 3 + years professional experience working with relational databases in a Database Administration, Database Developer, or Database Engineer capacity; preferably with PostgreSQL 3+ years of experience managing highly available environments Professional experience with data replication in a clustered environment Proven experience monitoring for potential issues and proactively recommending solutions Experience partnering closely with development teams Self-starter with a problem solver mentality Desired skills and Technical Experience SQL, PostgreSQL GitHub Ansible Microservices architecture experience within Azure is a huge plus System level experience with Windows or Linux Ability to analyze complex systems with specific attention to detail Excellent written and verbal communication skills Effective collaborator and the willingness to be flexible Team player mentality with specific focus on inclusion Excellent verbal and written communication skills At CoverMyMeds, we care about the well-being of the patients and communities we serve, and that starts with caring for our people. That’s why we have a Total Rewards package that includes comprehensive benefits to support physical, mental, and financial well-being. Our Total Rewards offerings serve the different needs of our diverse employee population and ensure they are the healthiest versions of themselves. For more information regarding benefits at CoverMyMeds, please click here. As part of Total Rewards, we are proud to offer a competitive compensation package at CoverMyMeds. This is determined by several factors, including performance, experience and skills, equity, regular job market evaluations, and geographical markets. In addition to base pay, other compensation, such as an annual bonus or long-term incentive opportunities may be offered. Our Base Pay Range for this position $99,400 - $165,600 CoverMyMeds is an equal opportunity and affirmative action employer. We embrace diversity and are committed to creating an inclusive environment for all employees. Qualified applicants will be considered for employment without regard to race, religion, gender, gender identity, sexual orientation, national origin, age, disability or veteran status.",Competitive,14-01-2024,Indeed,Database Administrator
Cotiviti,Senior Database Administrator,Remote,,Competitive,14-01-2024,Indeed,Database Administrator
BayOne,PostgreSQL Database Administrator,"San Jose, CA",,Competitive,14-01-2024,Indeed,Database Administrator
Serco North America,Database Administrator - (Hybrid Schedule),"Herndon, VA 20170",,Competitive,14-01-2024,Indeed,Database Administrator
Hackensack Meridian Health,Database Administrator III,"Hybrid remote in Edison, NJ 08837",,Competitive,14-01-2024,Indeed,Database Administrator
"Stem, Inc.",Cloud Database Administrator,"San Francisco, CA",,Competitive,14-01-2024,Indeed,Database Administrator
Oracle,Sr. Database Administrator,United States,,Competitive,14-01-2024,Indeed,Database Administrator
TRA'BIAN ENTERPRISES,Microsoft Dataverse Administrator / Database Administrator for Brightworks 365 application,"Columbus, OH",,Competitive,14-01-2024,Indeed,Database Administrator
State of Missouri,Database Administrator #5-7-191,"Jefferson City, MO 65101",,Competitive,14-01-2024,Indeed,Database Administrator
Gardener's Supply Company,Database Developer Administrator,"Burlington, VT 05401","OVERVIEW: The Database Developer/Admin plays a pivotal role in AGR's application team, supporting both daily operations and development initiatives. You'll collaborate with diverse teams (web devs, network team, business analysts) to ensure AGR's ERP system (NetSuite) and auxiliary systems run smoothly and efficiently. RESPONSIBILITIES: Bridge the gap between business needs and technical solutions: Extracting and documenting requirements,understanding what the business needs and translating it into actionable technical specifications. Data engineering - designing and implementing data models, APIs, andcreating the backbone of efficient and effective data storage, lineage, and retrieval. Developing and integrating secure, scalable applicationsthat align with industry best practices. Administering SQL Servers and Oracle Servers,ensuring optimal performance and security. Performing unit and system testing,guaranteeing applications and components function flawlessly. Monitoring data feedsbetween internal systems and external partners. Providing application and integration supportto business system owners. You're a technical chameleon, comfortable in multiple environments: N-Tier Architecture,designing modular and adaptable applications. Microsoft Products and Oracle Database,fluent in both platforms. Azure, SQL Server, NetSuite development,crafting code across varied environments. XML Schema expertise,defining and manipulating data structures. REQUIREMENTS: 3+ years of experience:in relational databases (SQL Server preferred) Computer science degree or equivalent experience. Solid knowledge of data modeling, databases, security standards, BI tools, ETL tools and Microsoft Azure specific technologies Teamwork and independent work:seamlessly transitioning between collaboration and solo execution. Problem-solving and time management:juggling diverse tasks and projects efficiently. Continuous learning:a thirst for knowledge and improvement,keeping pace with AGR's evolving needs. Positive and cooperative communicationwith colleagues,clients,and management. Willingness for occasional overtime and weekend work, including scheduled pager coverage.",Competitive,14-01-2024,Indeed,Database Administrator
Analytica,Database Administrator,Remote,"Analytica is seeking a remote Database Administrator to support an enterprise-wide data environment for a high-profile federal client. As part of our team, you will work with a diverse group of sophisticated professionals to provide database administration and maintain applications and architectures. Analytica has been recognized by Inc. Magazine as one of the fastest-growing 250 businesses in the US for 3 years. We work with U.S. government clients in health, civilian, and national security missions to build better technology products that impact our day-to-day lives. The company offers competitive compensation with opportunities for bonuses, employer-paid health care, training and development funds, and 401k match. Responsibilities include (but not limited to): Perform troubleshooting on any database issues, performance analysis, ensuring database security, evaluating new database trends and technologies, developing and testing shell scripts, scripting and coding required for database administration and associated database tools Work as part of a team to design and develop code, scripts, and data pipelines that leverage structured and unstructured data integrated from multiple sources Design and develop automated test cases that verify solution feasibility and interoperability, to include performance assessments Tune the SQL Server and IBM DB2 databases for optimal performance in large scale / big data environment Manage the database's storage structures; managing users and security Basic Qualifications: Bachelor’s degree in Computer Science, Engineering, Information Technology, or other scientific or quantitative fields. 3+ years of experience as a Database Administrator Experience administering, operating, maintaining, and securing a SQL Server and/or IBM DB2 database environment Experienced in database tuning to improve process efficiency Experience monitoring and administering security including credential management, auditing access, and checking for security problems. Ability to obtain and maintain security clearance Knowledge of data/database technologies for Analytics and Warehousing are a plus Ability to obtain and maintain security clearance About Analytica: Analytica is a leading consulting and information technology solutions provider to public sector organizations supporting health, civilian, and national security missions. The company is an award-winning SBA certified 8(a) small business that has been recognized by Inc. Magazine each of the past three years as one of the 250 fastest-growing companies in the U.S. Analytica specializes in providing software and systems engineering, information management, analytics & visualization, agile project management, and management consulting services. The company is appraised by the Software Engineering Institute (SEI) at CMMI® Maturity Level 3 and is an ISO 9001:2008 certified provider. As a federal contractor, Analytica is required to verify that all employees are fully vaccinated against COVID-19. If you receive an offer and are unable to get vaccinated for religious or medical reasons, you may request a reasonable accommodation. G1ntDyDmot",Competitive,14-01-2024,Indeed,Database Administrator
University of Minnesota,Database and System Administrator,"Hybrid remote in Minneapolis, MN","Required Qualifications (must be documented on resume): BA/BS plus at least four years of work experience in the areas of database design and administration, or a master's degree plus at least two years of experience. Experience with Oracle 12 and/or later editions, including Oracle installation and configuration, patching, security, Oracle Data Guard, Oracle Gateways, Oracle Multi-tenant and Recovery Manager (RMAN). Experience with database-related Linux administration and running databases on Linux. Experience with Oracle Enterprise Manager Cloud Control including setup, jobs and advanced monitoring. Experienced with SQL, PL/SQL, Shell Scripting. Experience with RMAN backup and restore in 12c and 19c single and multitenant database architecture. Experience with patching and upgrading Oracle Databases to 19c. Experience in capacity planning and performance tuning. Ability to write and maintain large PL/SQL packages. Preferred Qualifications: HTML and PHP with Oracle PostgreSQL or MS SQL Server PowerShell Scripting Position Overview: At the University of Minnesota, University Services, our vision is to provide exceptional and welcoming campuses that are safe and reliable for all who learn, live, work, and visit. Apply today to join our IT team as a Database and System Administrator, where you'll be at the forefront of shaping our enterprise services through effective database infrastructure. As a key player in our cross-functional teams, you'll enjoy the autonomy to craft and evolve diverse environments and architectures with a mix of responsibilities including maintaining systems, embracing new technologies, and managing multiple projects with precision and skill. Our opportunity will allow you to flex both your technical muscles and interpersonal savvy as you bridge the gap between deep technical details and user-friendly communication. We value learning, innovation, and professional growth and are here to support you in your next endeavor. Job Responsibilities: Serve as the unit expert on database administration for the University Services business unit. Participate in on-call rotation, which involves carrying a communication device. This involves responding to critical system issues during non-business hours to resolve production problems. Architect, deploy, and support highly-available database solutions, including the design, documentation, and automation of database administration tasks that meet the service needs of the business and the University. Proactive maintenance including monitoring space, ensuring performance for availability, and forecasting storage and resource requirements for the database systems. Provide resolution to incidents and problems, including the creation of post-mortem documentation detailing root cause and process modification in response to service outages and failures. Align to change management processes and standards and follow those procedures when making any changes. Interact with service owners and customers to ensure functional service requirements are met with proper technical resources. Optimize and monitor performance metrics using standard tools, autonomously responding to trends as appropriate to maintain or exceed expected performance. Develop and support vendor inbound and outbound integration interfaces. Maintain functional Oracle accounts, database links and Oracle gateways. Perform scheduled maintenance activities including planned work outside of business hours. Refresh user acceptance testing (UAT), development, and other environments when necessary. Understand and follow procedures identified by CIS and other security standards, as well as maintaining database security and audit compliance. Keep current on industry standards, emerging technologies such as cloud database options and business frameworks. ***Please note, this position is not eligible for H-1B or Green Card sponsorship. Work Environment: This is a hybrid position sharing time between on-site and remote work. On-site expectations are approximately twice per week, but can vary depending on business needs. Applications must be submitted online. To be considered for this position, please click the Apply button and follow the instructions. You will be given the opportunity to complete an online application for the position and attach a cover letter and resume. Additional documents may be attached after application by accessing your ""My Job Applications"" page and uploading documents in the ""My Cover Letters and Attachments"" section. To request an accommodation during the application process, please e-mail employ@umn.edu or call (612) 624-UOHR (8647). The University recognizes and values the importance of diversity and inclusion in enriching the employment experience of its employees and in supporting the academic mission. The University is committed to attracting and retaining employees with varying identities and backgrounds. The University of Minnesota provides equal access to and opportunity in its programs, facilities, and employment without regard to race, color, creed, religion, national origin, gender, age, marital status, disability, public assistance status, veteran status, sexual orientation, gender identity, or gender expression. To learn more about diversity at the U: http://diversity.umn.edu Any offer of employment is contingent upon the successful completion of a background check. Our presumption is that prospective employees are eligible to work here. Criminal convictions do not automatically disqualify finalists from employment. The University of Minnesota, Twin Cities (UMTC) The University of Minnesota, Twin Cities (UMTC), is among the largest public research universities in the country, offering undergraduate, graduate, and professional students a multitude of opportunities for study and research. Located at the heart of one of the nation's most vibrant, diverse metropolitan communities, students on the campuses in Minneapolis and St. Paul benefit from extensive partnerships with world-renowned health centers, international corporations, government agencies, and arts, nonprofit, and public service organizations. At the University of Minnesota, we are proud to be recognized by the Star Tribune as a Top Workplace for 2021, as well as by Forbes as Best Employers for Women and one of America’s Best Employers (2015, 2018, 2019, 2023), Best Employer for Diversity (2019, 2020), Best Employer for New Grads (2018, 2019), and Best Employer by State (2019, 2022).",Competitive,14-01-2024,Indeed,Database Administrator
Hackensack Meridian Health,Database Administrator III,"Hybrid remote in Edison, NJ 08837","Overview: Our team members are the heart of what makes us better. At Hackensack Meridian Health we help our patients live better, healthier lives — and we help one another to succeed. With a culture rooted in connection and collaboration, our employees are team members. Here, competitive benefits are just the beginning. It’s also about how we support one another and how we show up for our community. Together, we keep getting better - advancing our mission to transform healthcare and serve as a leader of positive change. The Database Administrator III provides database administration for Epic Clarity, Cogito, and Caboodle databases including administration, replication, backup/restore procedures, query assessment, performance tuning, troubleshooting and related DBA activities. They will work closely with the Data and Analytics and BI teams to ensure platform availability and stability. This third level position is usually assigned larger more complex jobs than the level I or II jobs, but smaller or less complex systems or business units than are assigned to the higher level Database Administrators. This is a hybrid position, there is a mix of onsite and remote work with a flexible schedule, once a month, typically a Wednesday, and as needed for events. C andidates must have Epic experience and certifications in Epic Clarity/ Cogito ETL Caboodle Administration. Epic Iris experience is preferred. They should also have experience in either SQL Server or Oracle. Responsibilities: A day in the life of a Database Administrator III at Hackensack Meridian Health includes: Take ownership of problems through to resolution over a wide variety of systems and technologies. Ensure internal database systems are managed to the highest standard by following industry best practice. Performs work under minimal supervision. Handles complex issues and problems. Demonstrate problem management ownership and prevention of downtime. Actively contribute to the development of existing and new IT process and procedures to enhance service transition and service operation lifecycle stages. Demonstrate self-starter capabilities identifying areas of improvement and taking action in order to address service impacting issues. Provide operational support for the Epic Cache/ Oracle/ Windows/SQL Server database environment. Database backup/restores, daily checks, maintenance tasks and building new database instances and applying service packs. Manage and escalate problems as appropriate and Investigate defects or problems, work with infrastructure and external vendors to identify solutions and support any fixes that are required as part of service improvement. Follow the Change Management procedure and other standard practices in installing, configuring and supporting databases and related items in Test and Production environments. Ensure service uptime is prioritized and all faults, incidents and problems are responded to in an efficient manner without negatively impacting SLAs and reporting metrics in place. Upgrade or maintain software at a time when the impact to the business is minimized. Other duties and/or projects as assigned. Adheres to HMH's Organizational competencies and standards of behavior. Qualifications: Education, Knowledge, Skills and Abilities Required: Bachelors level degree or equivalent in Information Technology/Math/Computer Science or related field. A minimum of four years of experience. Analytical skills, communication skills, adaptable, and flexible. Windows Server Operating Systems Security concepts and technologies, including PCI & PHI understanding . Active Directory, Group Policy, DBS, DHCP & DFS. Enterprise storage, Enterprise-scale patch management & related maintenance methodologies. Network principles, protocols & Technologies. Epic Cache, Cogito, Oracle, SQL and other database technology platforms, backup & recovery, including, Disaster Recovery. Education, Knowledge, Skills and Abilities Preferred: Six years of experience. Prior healthcare experience",Competitive,14-01-2024,Indeed,Database Administrator
ADPMN IT SOLUTIONS,Oracle Database Administrator,Georgia,,Competitive,14-01-2024,Indeed,Database Administrator
Sovereign Technologies,SQL Database Administrator,"St. Louis, MO",,Competitive,14-01-2024,Indeed,Database Administrator
"Stem, Inc.",Cloud Database Administrator,"San Francisco, CA",,Competitive,14-01-2024,Indeed,Database Administrator
SPN Solutions Inc.,Sr. Database Administrator,"Fairfax, VA 22030","Job Description: Acquisition) environment. Comprehensive understanding of industry standards related to database administration. Key Responsibilities: Database Management and Maintenance: Ensure data integrity, availability, and optimized performance. Conduct regular health checks to determine the status of databases, identifying fragmentation, outdated indexes, and potential performance-impacting issues. Implement, manage, and test backup and recovery solutions, including full, differential, and log backups. Oversee off-site and cloud-based backup strategies to ensure data redundancy and protection against geographical threats. Performance Optimization: Continuously monitor and analyze database performance metrics. Optimize SQL queries, adjusting and adding indexes as necessary. Manage and allocate database resources to ensure smooth performance. Security and Compliance: Regularly update and patch database software to address vulnerabilities. Implement and manage access controls, ensuring data encryption both at rest and in transit. Execute regular audits to ensure data security and regulatory compliance. Scalability and Availability: Design and maintain databases with future scalability considerations. Implement clustering and replication strategies for high availability and load balancing. Database Administration in a SCADA Environment: Monitor SCADA systems to ensure data integrity and availability. Design and implement database architectures that support SCADA system needs and complexities. Prioritize system security and ensure that databases are resistant to potential SCADA-specific vulnerabilities. Additional Duties related to Senior Database Administrator: Develop and implement database policies and procedures. Liaise with IT teams, developers, and management to ensure database solutions meet organizational needs. Offer technical support and troubleshooting for database-related issues. Mentor junior database administrators and staff on best practices and procedures. At SPN Solutions Inc., our success is deeply rooted in the expertise and dedication of our esteemed professionals. We are actively seeking a Senior Database Administrator—a candidate who not only aligns with our values but also brings a wealth of knowledge combined with a forward-thinking perspective. If you are passionate about driving transformation, pioneering innovation, and making a significant impact in the domain, we invite you to join our team.",Competitive,14-01-2024,Indeed,Database Administrator
Valve Software,Steam Database Administrator,"Bellevue, WA",,Competitive,14-01-2024,Indeed,Database Administrator
CRATE & BARREL,Senior Database Administrator,"Remote in Northbrook, IL",,Competitive,14-01-2024,Indeed,Database Administrator
Om Tek,DATABASE ADMINISTRATOR,"Irving, TX 75038",,Competitive,14-01-2024,Indeed,Database Administrator
Oracle,Sr. Database Administrator,United States,,Competitive,14-01-2024,Indeed,Database Administrator
